ID	Gene1	Gene2	NumSupp	Chrom1	Breakpoint1	Chrom2	Breakpoint2	SupportingReads
GF047	KCNC1	SERGEF	5	chr11	17788411	chr11	17992928	Normal14_3301_7,Normal14_3301_15,Normal14_3301_20,Normal14_3301_23,Normal14_3301_28
GF048	PAX6	ENSG00000285283	26	chr11	31816639	chr11	32097140	Normal14_4075_9,Normal14_4075_1,Normal14_4075_10,Normal14_4075_11,Normal14_4075_12,Normal14_4075_13,Normal14_4075_14,Normal14_4075_15,Normal14_4075_16,Normal14_4075_17,Normal14_4075_18,Normal14_4075_19,Normal14_4075_2,Normal14_4075_21,Normal14_4075_22,Normal14_4075_23,Normal14_4075_24,Normal14_4075_25,Normal14_4075_26,Normal14_4075_27,Normal14_4075_3,Normal14_4075_4,Normal14_4075_5,Normal14_4075_6,Normal14_4075_7,Normal14_4075_8
GF049	PAX6	ENSG00000285283	6	chr11	31812497	chr11	32097143	Normal14_4074_9,Normal14_4074_14,Normal14_4074_19,Normal14_4074_20,Normal14_4074_24,Normal14_4074_5
GF050	ENSG00000289465	RDX	8	chr11	109864720	chr11	110124059	Normal15_2361_7,Normal15_2361_19,Normal15_2361_2,Normal15_2361_23,Normal15_2361_29,Normal15_2361_3,Normal15_2361_30,Normal15_2361_6
GF051	ENSG00000247416	NCAM1	163	chr11	112961663	chr11	113202375	Normal15_2710_9,Normal15_2700_10,Normal15_2700_11,Normal15_2700_12,Normal15_2700_14,Normal15_2700_15,Normal15_2700_18,Normal15_2700_19,Normal15_2700_2,Normal15_2700_20,Normal15_2700_21,Normal15_2700_22,Normal15_2700_24,Normal15_2700_25,Normal15_2700_26,Normal15_2700_27,Normal15_2700_29,Normal15_2700_3,Normal15_2700_31,Normal15_2700_32,Normal15_2700_4,Normal15_2700_5,Normal15_2700_6,Normal15_2700_9,Normal15_2701_1,Normal15_2701_12,Normal15_2701_13,Normal15_2701_14,Normal15_2701_15,Normal15_2701_16,Normal15_2701_17,Normal15_2701_18,Normal15_2701_2,Normal15_2701_20,Normal15_2701_21,Normal15_2701_22,Normal15_2701_23,Normal15_2701_24,Normal15_2701_25,Normal15_2701_26,Normal15_2701_28,Normal15_2701_29,Normal15_2701_3,Normal15_2701_30,Normal15_2701_31,Normal15_2701_4,Normal15_2701_6,Normal15_2701_7,Normal15_2701_9,Normal15_2702_10,Normal15_2702_13,Normal15_2702_14,Normal15_2702_15,Normal15_2702_17,Normal15_2702_2,Normal15_2702_22,Normal15_2702_24,Normal15_2702_26,Normal15_2702_29,Normal15_2702_30,Normal15_2702_33,Normal15_2702_34,Normal15_2702_35,Normal15_2702_5,Normal15_2702_6,Normal15_2702_7,Normal15_2702_9,Normal15_2704_12,Normal15_2704_13,Normal15_2704_14,Normal15_2704_15,Normal15_2704_16,Normal15_2704_19,Normal15_2704_2,Normal15_2704_20,Normal15_2704_23,Normal15_2704_24,Normal15_2704_25,Normal15_2704_26,Normal15_2704_27,Normal15_2704_28,Normal15_2704_29,Normal15_2704_3,Normal15_2704_31,Normal15_2704_32,Normal15_2704_33,Normal15_2704_4,Normal15_2704_7,Normal15_2704_8,Normal15_2707_1,Normal15_2707_10,Normal15_2707_11,Normal15_2707_12,Normal15_2707_13,Normal15_2707_16,Normal15_2707_17,Normal15_2707_19,Normal15_2707_20,Normal15_2707_22,Normal15_2707_23,Normal15_2707_25,Normal15_2707_26,Normal15_2707_27,Normal15_2707_29,Normal15_2707_30,Normal15_2707_32,Normal15_2707_9,Normal15_2708_1,Normal15_2708_10,Normal15_2708_11,Normal15_2708_13,Normal15_2708_14,Normal15_2708_15,Normal15_2708_16,Normal15_2708_17,Normal15_2708_18,Normal15_2708_2,Normal15_2708_20,Normal15_2708_21,Normal15_2708_23,Normal15_2708_25,Normal15_2708_27,Normal15_2708_28,Normal15_2708_3,Normal15_2708_30,Normal15_2708_31,Normal15_2708_6,Normal15_2708_7,Normal15_2708_8,Normal15_2708_9,Normal15_2710_10,Normal15_2710_13,Normal15_2710_14,Normal15_2710_15,Normal15_2710_17,Normal15_2710_20,Normal15_2710_25,Normal15_2710_26,Normal15_2710_28,Normal15_2710_29,Normal15_2710_3,Normal15_2710_32,Normal15_2710_4
GF052	ENSG00000247416	NCAM1	27	chr11	112961664	chr11	113255873	Normal15_2706_9,Normal15_2706_1,Normal15_2706_10,Normal15_2706_11,Normal15_2706_12,Normal15_2706_13,Normal15_2706_14,Normal15_2706_15,Normal15_2706_16,Normal15_2706_18,Normal15_2706_2,Normal15_2706_20,Normal15_2706_21,Normal15_2706_22,Normal15_2706_23,Normal15_2706_24,Normal15_2706_25,Normal15_2706_26,Normal15_2706_27,Normal15_2706_28,Normal15_2706_29,Normal15_2706_3,Normal15_2706_30,Normal15_2706_4,Normal15_2706_5,Normal15_2706_6,Normal15_2706_8
GF053	ENSG00000247416	NCAM1	26	chr11	112961663	chr11	113214365	Normal15_2703_9,Normal15_2703_1,Normal15_2703_10,Normal15_2703_13,Normal15_2703_14,Normal15_2703_15,Normal15_2703_16,Normal15_2703_17,Normal15_2703_18,Normal15_2703_19,Normal15_2703_2,Normal15_2703_20,Normal15_2703_21,Normal15_2703_22,Normal15_2703_24,Normal15_2703_25,Normal15_2703_26,Normal15_2703_27,Normal15_2703_28,Normal15_2703_29,Normal15_2703_3,Normal15_2703_4,Normal15_2703_5,Normal15_2703_6,Normal15_2703_7,Normal15_2703_8
GF054	NTM	OPCML	31	chr11	132146277	chr11	132942923	Normal15_4912_9,Normal15_4910_30,Normal15_4911_10,Normal15_4911_12,Normal15_4911_15,Normal15_4911_16,Normal15_4911_2,Normal15_4911_20,Normal15_4911_21,Normal15_4911_22,Normal15_4911_24,Normal15_4911_25,Normal15_4911_26,Normal15_4911_3,Normal15_4911_31,Normal15_4911_4,Normal15_4911_8,Normal15_4911_9,Normal15_4912_10,Normal15_4912_11,Normal15_4912_12,Normal15_4912_14,Normal15_4912_15,Normal15_4912_16,Normal15_4912_2,Normal15_4912_21,Normal15_4912_22,Normal15_4912_25,Normal15_4912_26,Normal15_4912_6,Normal15_4912_7
GF056	MYRFL	PRANCR	42	chr12	69904419	chr12	70242794	Normal16_3338_9,Normal16_3337_11,Normal16_3337_12,Normal16_3337_15,Normal16_3337_16,Normal16_3337_18,Normal16_3337_2,Normal16_3337_26,Normal16_3337_27,Normal16_3337_28,Normal16_3337_29,Normal16_3337_3,Normal16_3337_30,Normal16_3337_4,Normal16_3337_5,Normal16_3337_7,Normal16_3338_1,Normal16_3338_10,Normal16_3338_11,Normal16_3338_12,Normal16_3338_13,Normal16_3338_14,Normal16_3338_15,Normal16_3338_16,Normal16_3338_17,Normal16_3338_19,Normal16_3338_2,Normal16_3338_20,Normal16_3338_23,Normal16_3338_24,Normal16_3338_25,Normal16_3338_26,Normal16_3338_27,Normal16_3338_29,Normal16_3338_3,Normal16_3338_30,Normal16_3338_31,Normal16_3338_4,Normal16_3338_5,Normal16_3338_6,Normal16_3338_7,Normal16_3338_8
GF057	TPH2	TRHDE	22	chr12	72105754	chr12	72377992	Normal16_3514_9,Normal16_3514_1,Normal16_3514_10,Normal16_3514_11,Normal16_3514_12,Normal16_3514_13,Normal16_3514_15,Normal16_3514_16,Normal16_3514_18,Normal16_3514_19,Normal16_3514_20,Normal16_3514_21,Normal16_3514_23,Normal16_3514_24,Normal16_3514_25,Normal16_3514_27,Normal16_3514_29,Normal16_3514_4,Normal16_3514_5,Normal16_3514_6,Normal16_3514_7,Normal16_3514_8
GF058	POLR3B	ENSG00000257545	21	chr12	106507811	chr12	106774689	Normal16_5456_9,Normal16_5456_1,Normal16_5456_11,Normal16_5456_12,Normal16_5456_13,Normal16_5456_14,Normal16_5456_16,Normal16_5456_17,Normal16_5456_18,Normal16_5456_2,Normal16_5456_21,Normal16_5456_23,Normal16_5456_25,Normal16_5456_26,Normal16_5456_27,Normal16_5456_29,Normal16_5456_3,Normal16_5456_4,Normal16_5456_5,Normal16_5456_6,Normal16_5456_8
GF059	POLR3B	ENSG00000257545	21	chr12	106500183	chr12	106774688	Normal16_5455_8,Normal16_5455_1,Normal16_5455_13,Normal16_5455_15,Normal16_5455_17,Normal16_5455_18,Normal16_5455_19,Normal16_5455_20,Normal16_5455_21,Normal16_5455_22,Normal16_5455_23,Normal16_5455_24,Normal16_5455_25,Normal16_5455_26,Normal16_5455_28,Normal16_5455_29,Normal16_5455_3,Normal16_5455_4,Normal16_5455_5,Normal16_5455_6,Normal16_5455_7
GF060	EDNRB	OBI1-AS1	18	chr13	77919917	chr13	78578474	Normal17_1772_7,Normal17_1772_10,Normal17_1772_12,Normal17_1772_14,Normal17_1772_16,Normal17_1772_20,Normal17_1772_21,Normal17_1772_22,Normal17_1772_23,Normal17_1772_26,Normal17_1772_27,Normal17_1772_29,Normal17_1772_3,Normal17_1772_32,Normal17_1772_34,Normal17_1772_4,Normal17_1772_5,Normal17_1772_1
GF061	ENSG00000278177	GPC6	49	chr13	93227616	chr13	94286346	Normal17_2065_8,Normal17_2065_1,Normal17_2065_11,Normal17_2065_12,Normal17_2065_14,Normal17_2065_15,Normal17_2065_16,Normal17_2065_17,Normal17_2065_2,Normal17_2065_20,Normal17_2065_22,Normal17_2065_26,Normal17_2065_27,Normal17_2065_29,Normal17_2065_3,Normal17_2065_30,Normal17_2065_31,Normal17_2065_32,Normal17_2065_33,Normal17_2065_35,Normal17_2065_36,Normal17_2065_5
GF064	NOVA1-DT	ENSG00000258081	6	chr14	26724791	chr14	27133969	Normal17_5166_4,Normal17_5166_12,Normal17_5166_13,Normal17_5166_14,Normal17_5166_16,Normal17_5166_17
GF065	NOVA1-DT	ENSG00000258081	4	chr14	26600184	chr14	27133972	Normal17_5166_9,Normal17_5166_1,Normal17_5166_28,Normal17_5166_3
GF066	ENSG00000283098	ENSG00000258661	24	chr14	36448837	chr14	36654744	Normal17_5867_8,Normal17_5867_10,Normal17_5867_12,Normal17_5867_13,Normal17_5867_18,Normal17_5867_20,Normal17_5867_22,Normal17_5867_25,Normal17_5867_26,Normal17_5867_27,Normal17_5867_28,Normal17_5867_29,Normal17_5867_3,Normal17_5867_30,Normal17_5867_31,Normal17_5867_4,Normal17_5867_6
GF069	ENSG00000258561	GPHN	4	chr14	66508588	chr14	66824474	Normal17_7842_8,Normal17_7842_10,Normal17_7842_15,Normal17_7842_33
GF070	ENSG00000258561	GPHN	3	chr14	66508590	chr14	66776464	Normal17_7844_28,Normal17_7843_24,Normal17_7843_8
GF071	NRXN3	ENSG00000258637	4	chr14	78988138	chr14	79663777	Normal17_9337_24,Normal17_9329_8,Normal17_9330_33,Normal17_9331_6
GF072	NRXN3	ENSG00000258637	3	chr14	79467401	chr14	79692170	Normal17_9344_2,Normal17_9330_5,Normal17_9342_4
GF073	FOXN3	ENSG00000259053	18	chr14	89486672	chr14	89953905	Normal17_9814_8,Normal17_9814_10,Normal17_9814_11,Normal17_9814_12,Normal17_9814_14,Normal17_9814_16,Normal17_9814_17,Normal17_9814_19,Normal17_9814_2,Normal17_9814_20,Normal17_9814_22,Normal17_9814_24,Normal17_9814_25,Normal17_9814_28,Normal17_9814_3,Normal17_9814_4,Normal17_9814_6,Normal17_9814_7
GF074	PWRN1	ENSG00000286110	23	chr15	24570128	chr15	24807820	Normal18_2624_9,Normal18_2624_10,Normal18_2624_12,Normal18_2624_13,Normal18_2624_14,Normal18_2624_15,Normal18_2624_16,Normal18_2624_18,Normal18_2624_19,Normal18_2624_2,Normal18_2624_20,Normal18_2624_21,Normal18_2624_24,Normal18_2624_25,Normal18_2624_26,Normal18_2624_29,Normal18_2624_3,Normal18_2624_30,Normal18_2624_4,Normal18_2624_5,Normal18_2624_6,Normal18_2624_7,Normal18_2624_8
GF075	LINC01491	ENSG00000259754	3	chr15	47812912	chr15	48048791	Normal18_5294_29,Normal18_5294_11,Normal18_5294_23
GF076	ALDH1A2	LIPC	27	chr15	58014284	chr15	58419970	Normal18_6130_9,Normal18_6130_1,Normal18_6130_10,Normal18_6130_11,Normal18_6130_12,Normal18_6130_13,Normal18_6130_14,Normal18_6130_16,Normal18_6130_17,Normal18_6130_18,Normal18_6130_19,Normal18_6130_2,Normal18_6130_21,Normal18_6130_22,Normal18_6130_23,Normal18_6130_24,Normal18_6130_25,Normal18_6130_26,Normal18_6130_27,Normal18_6130_28,Normal18_6130_29,Normal18_6130_3,Normal18_6130_4,Normal18_6130_5,Normal18_6130_6,Normal18_6130_7,Normal18_6130_8
GF077	ALDH1A2	LIPC	18	chr15	58138573	chr15	58419969	Normal18_6135_9,Normal18_6135_11,Normal18_6135_12,Normal18_6135_13,Normal18_6135_17,Normal18_6135_2,Normal18_6135_20,Normal18_6135_21,Normal18_6135_22,Normal18_6135_23,Normal18_6135_25,Normal18_6135_26,Normal18_6135_28,Normal18_6135_29,Normal18_6135_3,Normal18_6135_5,Normal18_6135_7,Normal18_6135_8
GF078	LINC02251	ENSG00000259199	23	chr15	98046740	chr15	98257576	Normal19_743_9,Normal19_743_1,Normal19_743_10,Normal19_743_11,Normal19_743_12,Normal19_743_13,Normal19_743_14,Normal19_743_15,Normal19_743_16,Normal19_743_17,Normal19_743_18,Normal19_743_19,Normal19_743_2,Normal19_743_21,Normal19_743_23,Normal19_743_26,Normal19_743_27,Normal19_743_28,Normal19_743_3,Normal19_743_30,Normal19_743_5,Normal19_743_6,Normal19_743_8
