#FusionName	num_LR	LeftGene	LeftLocalBreakpoint	LeftBreakpoint	RightGene	RightLocalBreakpoint	RightBreakpoint	SpliceType	LR_accessions	LR_FFPM	annots	max_LR_FFPM	frac_dom_iso	above_frac_dom_iso
RN7SL1--TRIP12	3	RN7SL1	1269	chr14:49586848:+	TRIP12	40181	chr2:229787848:-	INCL_NON_REF_SPLICE	m64139_220127_180020/148113019/ccs,m64139_220127_180020/142475742/ccs,m64139_220127_180020/129499173/ccs	0.677	["INTERCHROMOSOMAL[chr14--chr2]"]	0.677	1.0	True
RN7SL1--ZBTB8OS	3	RN7SL1	1293	chr14:49586872:+	ZBTB8OS	6179	chr1:32634415:-	INCL_NON_REF_SPLICE	m64139_220127_180020/171443341/ccs,m64139_220127_180020/14682459/ccs,m64139_220127_180020/15927676/ccs	0.677	["INTERCHROMOSOMAL[chr14--chr1]"]	0.677	1.0	True
SKA2--SYPL1	3	SKA2	6831	chr17:59112259:-	SYPL1	15607	chr7:106097926:-	INCL_NON_REF_SPLICE	m64139_220127_180020/36634949/ccs,m64139_220127_180020/89391163/ccs,m64139_220127_180020/89653915/ccs	0.677	["INTERCHROMOSOMAL[chr17--chr7]"]	0.677	1.0	True
USP34--CBLB	3	USP34	70891	chr2:61190271:-	CBLB	106491	chr3:105670352:-	ONLY_REF_SPLICE	m64139_220127_180020/157157695/ccs,m64139_220127_180020/159777979/ccs,m64139_220127_180020/162793829/ccs	0.677	["INTERCHROMOSOMAL[chr2--chr3]"]	0.677	1.0	True
SNX22--ZNF609	3	SNX22	1136	chr15:64151850:+	ZNF609	11029	chr15:64499293:+	ONLY_REF_SPLICE	m64139_220127_180020/34146399/ccs,m64139_220127_180020/52757964/ccs,m64139_220127_180020/166724642/ccs	0.677	["INTRACHROMOSOMAL[chr15:0.30Mb]"]	0.677	1.0	True
SUN1--RNF213	3	SUN1	14860	chr7:852650:+	RNF213	110772	chr17:80393270:+	INCL_NON_REF_SPLICE	m64139_220127_180020/60164182/ccs,m64139_220127_180020/157157331/ccs,m64139_220127_180020/141623313/ccs	0.677	["INTERCHROMOSOMAL[chr7--chr17]"]	0.677	1.0	True
LCORL--HIVEP1	3	LCORL	1279	chr4:18021598:-	HIVEP1	36634	chr6:12015526:+	ONLY_REF_SPLICE	m64139_220127_180020/61867961/ccs,m64139_220127_180020/35979468/ccs,m64139_220127_180020/95160791/ccs	0.677	["INTERCHROMOSOMAL[chr4--chr6]"]	0.677	1.0	True
VPS45--SNF8	3	VPS45	18481	chr1:150099281:+	SNF8	41339	chr17:48932031:-	INCL_NON_REF_SPLICE	m64139_220127_180020/138347792/ccs,m64139_220127_180020/151848233/ccs,m64139_220127_180020/36047170/ccs	0.677	["INTERCHROMOSOMAL[chr1--chr17]"]	0.677	1.0	True
WDR11--VPS41	3	WDR11	23959	chr10:120890887:+	VPS41	51838	chr7:38776776:-	ONLY_REF_SPLICE	m64139_220127_180020/97190588/ccs,m64139_220127_180020/145490649/ccs,m64139_220127_180020/72287341/ccs	0.677	["INTERCHROMOSOMAL[chr10--chr7]"]	0.677	1.0	True
ZNF543--COQ10B	3	ZNF543	7704	chr19:57330809:+	COQ10B	16685	chr2:197474577:+	INCL_NON_REF_SPLICE	m64139_220127_180020/27920529/ccs,m64139_220127_180020/2884930/ccs,m64139_220127_180020/108921734/ccs	0.677	["INTERCHROMOSOMAL[chr19--chr2]"]	0.677	1.0	True
MCM3AP--KNTC1	3	MCM3AP	2033	chr21:46285265:-	KNTC1	73781	chr12:122597377:+	INCL_NON_REF_SPLICE	m64139_220127_180020/17630556/ccs,m64139_220127_180020/92079704/ccs,m64139_220127_180020/21432523/ccs	0.677	["INTERCHROMOSOMAL[chr21--chr12]"]	0.677	1.0	True
ZMYM2--MON2	3	ZMYM2	19497	chr13:20036909:+	MON2	72044	chr12:62565237:+	ONLY_REF_SPLICE	m64139_220127_180020/47251664/ccs,m64139_220127_180020/11600444/ccs,m64139_220127_180020/129043032/ccs	0.677	["INTERCHROMOSOMAL[chr13--chr12]"]	0.677	1.0	True
LACTB2--NCOA2	3	LACTB2	7959	chr8:70637815:-	NCOA2	15460	chr8:70296800:-	ONLY_REF_SPLICE	m64139_220127_180020/3671993/ccs,m64139_220127_180020/97125545/ccs,m64139_220127_180020/113838527/ccs	0.677	["INTRACHROMOSOMAL[chr8:0.23Mb]"]	0.677	1.0	True
CNKSR3--IPCEF1	3	CNKSR3	1623	chr6:154510063:-	IPCEF1	40888	chr6:154289756:-	ONLY_REF_SPLICE	m64139_220127_180020/122816327/ccs,m64139_220127_180020/10093319/ccs,m64139_220127_180020/138281775/ccs	0.677	["DepMap2023","TCGA_StarF2019","CCLE_StarF2019","INTRACHROMOSOMAL[chr6:0.03Mb]","NEIGHBORS[30712]"]	0.677	1.0	True
KIAA1328--DHFR2	3	KIAA1328	14627	chr18:36959435:+	DHFR2	35467	chr3:94061606:-	ONLY_REF_SPLICE	m64139_220127_180020/177930394/ccs,m64139_220127_180020/86902050/ccs,m64139_220127_180020/31720331/ccs	0.677	[]	0.677	1.0	True
APBB1IP--HSPA14	3	APBB1IP	15722	chr10:26562429:+	HSPA14	30109	chr10:14867083:+	ONLY_REF_SPLICE	m64139_220127_180020/113576367/ccs,m64139_220127_180020/81790447/ccs,m64139_220127_180020/98109918/ccs	0.677	["INTRACHROMOSOMAL[chr10:11.57Mb]"]	0.677	1.0	True
ATM--MAD2L1BP	3	ATM	83456	chr11:108365755:+	MAD2L1BP	93618	chr6:43637302:+	INCL_NON_REF_SPLICE	m64139_220127_180020/123144751/ccs,m64139_220127_180020/15925631/ccs,m64139_220127_180020/129894898/ccs	0.677	["INTERCHROMOSOMAL[chr11--chr6]"]	0.677	1.0	True
BOLA2B--SMG1P5	3	BOLA2B	1949	chr16:30193358:-	SMG1P5	15872	chr16:30288785:-	ONLY_REF_SPLICE	m64139_220127_180020/103482905/ccs,m64139_220127_180020/77531347/ccs,m64139_220127_180020/81332286/ccs	0.677	["INTRACHROMOSOMAL[chr16:0.07Mb]","LOCAL_REARRANGEMENT:-:[73247]"]	0.677	1.0	True
CALM1--BNIP3L	3	CALM1	9222	chr14:90405741:+	BNIP3L	14856	chr8:26383160:+	INCL_NON_REF_SPLICE	m64139_220127_180020/98305253/ccs,m64139_220127_180020/151915337/ccs,m64139_220127_180020/45026118/ccs	0.677	["INTERCHROMOSOMAL[chr14--chr8]"]	0.677	1.0	True
CD83--ENSG00000286277	3	CD83	1810	chr6:14118065:+	ENSG00000286277	11350	chr6:14498057:+	ONLY_REF_SPLICE	m64139_220127_180020/180421266/ccs,m64139_220127_180020/160106825/ccs,m64139_220127_180020/143721323/ccs	0.677	[]	0.677	1.0	True
ANKFY1--INPP5D	3	ANKFY1	18366	chr17:4184873:-	INPP5D	42902	chr2:233120451:+	INCL_NON_REF_SPLICE	m64139_220127_180020/49481379/ccs,m64139_220127_180020/23332825/ccs,m64139_220127_180020/135399796/ccs	0.677	["INTERCHROMOSOMAL[chr17--chr2]"]	0.677	1.0	True
COL6A4P2--ZRANB2	3	COL6A4P2	7943	chr3:130231508:+	ZRANB2	34384	chr1:71069362:-	ONLY_REF_SPLICE	m64139_220127_180020/5178867/ccs,m64139_220127_180020/180290883/ccs,m64139_220127_180020/78514562/ccs	0.677	["INTERCHROMOSOMAL[chr3--chr1]"]	0.677	1.0	True
ENSG00000227486--KLF8	3	ENSG00000227486	5331	chrX:56014961:+	KLF8	31105	chrX:56250231:+	ONLY_REF_SPLICE	m64139_220127_180020/147523467/ccs,m64139_220127_180020/12387713/ccs,m64139_220127_180020/44172102/ccs	0.677	[]	0.677	1.0	True
ENSG00000254701--LINC02241	3	ENSG00000254701	4961	chr5:70196878:-	LINC02241	18153	chr5:20699729:+	INCL_NON_REF_SPLICE	m64139_220127_180020/13108753/ccs,m64139_220127_180020/97060336/ccs,m64139_220127_180020/72747109/ccs	0.677	[]	0.677	1.0	True
GPR89B--NBPF12	3	GPR89B	1186	chr1:147928578:+	NBPF12	23866	chr1:146951348:+	ONLY_REF_SPLICE	m64139_220127_180020/14025646/ccs,m64139_220127_180020/15664712/ccs,m64139_220127_180020/118688391/ccs	0.677	["INTRACHROMOSOMAL[chr1:0.93Mb]"]	0.677	1.0	True
HAAO--BAG6	3	HAAO	1642	chr2:42789662:-	BAG6	11930	chr6:31652344:-	INCL_NON_REF_SPLICE	m64139_220127_180020/72157091/ccs,m64139_220127_180020/123603317/ccs,m64139_220127_180020/165676959/ccs	0.677	["INTERCHROMOSOMAL[chr2--chr6]"]	0.677	1.0	True
DYNLT1--RNU6-181P	3	DYNLT1	3120	chr6:158641731:-	RNU6-181P	8921	chr15:100560825:-	INCL_NON_REF_SPLICE	m64139_220127_180020/86771002/ccs,m64139_220127_180020/43778728/ccs,m64139_220127_180020/39257959/ccs	0.677	["INTERCHROMOSOMAL[chr6--chr15]"]	0.677	1.0	True
IFNAR1--DCAF16	3	IFNAR1	18602	chr21:33355768:+	DCAF16	27540	chr4:17805718:-	INCL_NON_REF_SPLICE	m64139_220127_180020/61014880/ccs,m64139_220127_180020/125175284/ccs,m64139_220127_180020/32768284/ccs	0.677	["INTERCHROMOSOMAL[chr21--chr4]"]	0.677	1.0	True
RN7SL2--TMEM156	2	RN7SL2	1269	chr14:49862581:-	TMEM156	8499	chr4:38994170:-	INCL_NON_REF_SPLICE	m64139_220127_180020/126552777/ccs,m64139_220127_180020/74777997/ccs	0.451	["INTERCHROMOSOMAL[chr14--chr4]"]	0.451	1.0	True
S100A11--SRP9	2	S100A11	4216	chr1:152032763:-	SRP9	7596	chr1:225777935:+	INCL_NON_REF_SPLICE	m64139_220127_180020/90505594/ccs,m64139_220127_180020/13501523/ccs	0.451	["INTRACHROMOSOMAL[chr1:73.73Mb]"]	0.451	1.0	True
RUFY2--ZNF700	2	RUFY2	2694	chr10:68404692:-	ZNF700	27295	chr19:11946960:+	INCL_NON_REF_SPLICE	m64139_220127_180020/51840179/ccs,m64139_220127_180020/72156697/ccs	0.451	["INTERCHROMOSOMAL[chr10--chr19]"]	0.451	1.0	True
RNU6-6P--KTN1	2	RNU6-6P	1107	chr10:13217375:+	KTN1	31768	chr14:55653507:+	INCL_NON_REF_SPLICE	m64139_220127_180020/108398871/ccs,m64139_220127_180020/147786515/ccs	0.451	[]	0.451	1.0	True
RNU6-3P--FADS1	2	RNU6-3P	1107	chrX:141118030:-	FADS1	16405	chr11:61803767:-	INCL_NON_REF_SPLICE	m64139_220127_180020/180552301/ccs,m64139_220127_180020/2491414/ccs	0.451	["INTERCHROMOSOMAL[chrX--chr11]"]	0.451	1.0	True
RNPS1--HMGCS1	2	RNPS1	3251	chr16:2266147:-	HMGCS1	20242	chr5:43297594:-	INCL_NON_REF_SPLICE	m64139_220127_180020/132188263/ccs,m64139_220127_180020/51251533/ccs	0.451	["INTERCHROMOSOMAL[chr16--chr5]"]	0.451	1.0	True
RNMT--SRPRB	2	RNMT	19102	chr18:13765125:+	SRPRB	27246	chr3:133811685:+	INCL_NON_REF_SPLICE	m64139_220127_180020/36964840/ccs,m64139_220127_180020/81002605/ccs	0.451	["INTERCHROMOSOMAL[chr18--chr3]"]	0.451	1.0	True
RIPK1--CHL1	2	RIPK1	11655	chr6:3085408:+	CHL1	59537	chr3:390701:+	ONLY_REF_SPLICE	m64139_220127_180020/127926839/ccs,m64139_220127_180020/53805718/ccs	0.451	["INTERCHROMOSOMAL[chr6--chr3]"]	0.451	1.0	True
RN7SL2--GEN1	2	RN7SL2	1214	chr14:49862636:-	GEN1	16571	chr2:17777507:+	INCL_NON_REF_SPLICE	m64139_220127_180020/98896469/ccs,m64139_220127_180020/62587946/ccs	0.451	["INTERCHROMOSOMAL[chr14--chr2]"]	0.451	1.0	True
RN7SL1--PARP15	2	RN7SL1	1269	chr14:49586848:+	PARP15	10174	chr3:122615002:+	INCL_NON_REF_SPLICE	m64139_220127_180020/174523074/ccs,m64139_220127_180020/148506098/ccs	0.451	["INTERCHROMOSOMAL[chr14--chr3]"]	0.451	1.0	True
RIN3--CCDC186	2	RIN3	18366	chr14:92685150:+	CCDC186	27303	chr10:114163329:-	ONLY_REF_SPLICE	m64139_220127_180020/92602546/ccs,m64139_220127_180020/149554620/ccs	0.451	["INTERCHROMOSOMAL[chr14--chr10]"]	0.451	1.0	True
REV3L--CARMIL1	2	REV3L	1966	chr6:111482750:-	CARMIL1	55196	chr6:25449898:+	ONLY_REF_SPLICE	m64139_220127_180020/141100201/ccs,m64139_220127_180020/177998338/ccs	0.451	[]	0.451	1.0	True
REST--CCNG2	2	REST	1338	chr4:56908213:+	CCNG2	23687	chr4:77158533:+	ONLY_REF_SPLICE	m64139_220127_180020/133499507/ccs,m64139_220127_180020/165480526/ccs	0.451	["INTRACHROMOSOMAL[chr4:20.22Mb]"]	0.451	1.0	True
RECQL5--SIDT2	2	RECQL5	19794	chr17:75628695:-	SIDT2	39462	chr11:117195568:+	INCL_NON_REF_SPLICE	m64139_220127_180020/24446316/ccs,m64139_220127_180020/80611752/ccs	0.451	["INTERCHROMOSOMAL[chr17--chr11]"]	0.451	1.0	True
SCAMP1--AP3B1	2	SCAMP1	1118	chr5:78360728:+	AP3B1	38248	chr5:78165672:-	ONLY_REF_SPLICE	m64139_220127_180020/83494800/ccs,m64139_220127_180020/154207264/ccs	0.451	["INTRACHROMOSOMAL[chr5:0.07Mb]","LOCAL_INVERSION:+:-:[65828]"]	0.451	1.0	True
RBM7--VEGFB	2	RBM7	3084	chr11:114402113:+	VEGFB	17980	chr11:64237116:+	INCL_NON_REF_SPLICE	m64139_220127_180020/62981623/ccs,m64139_220127_180020/73730240/ccs	0.451	["INTRACHROMOSOMAL[chr11:50.16Mb]"]	0.451	1.0	True
SAP18--ZNF224	2	SAP18	3927	chr13:21146889:+	ZNF224	10607	chr19:44095832:+	INCL_NON_REF_SPLICE	m64139_220127_180020/169804181/ccs,m64139_220127_180020/179372612/ccs	0.451	["INTERCHROMOSOMAL[chr13--chr19]"]	0.451	1.0	True
SIRT3--RHBDF2	2	SIRT3	1466	chr11:236466:-	RHBDF2	25592	chr17:76476998:-	INCL_NON_REF_SPLICE	m64139_220127_180020/127140805/ccs,m64139_220127_180020/89195323/ccs	0.451	["INTERCHROMOSOMAL[chr11--chr17]"]	0.451	1.0	True
SDHAF4--LMBRD1	2	SDHAF4	2064	chr6:70567980:+	LMBRD1	30556	chr6:69719462:-	INCL_NON_REF_SPLICE	m64139_220127_180020/145885520/ccs,m64139_220127_180020/170460842/ccs	0.451	[]	0.451	1.0	True
SLC25A45--BTN2A2	2	SLC25A45	2787	chr11:65381915:-	BTN2A2	14331	chr6:26385015:+	ONLY_REF_SPLICE	m64139_220127_180020/38209712/ccs,m64139_220127_180020/82116627/ccs	0.451	["INTERCHROMOSOMAL[chr11--chr6]"]	0.451	1.0	True
RADX--CENATAC	2	RADX	8467	chrX:106638363:+	CENATAC	27912	chr11:119014408:+	INCL_NON_REF_SPLICE	m64139_220127_180020/32571595/ccs,m64139_220127_180020/24053006/ccs	0.451	[]	0.451	1.0	True
SNRPD1--PGBD2	2	SNRPD1	5769	chr18:21630485:+	PGBD2	13917	chr1:248916375:+	INCL_NON_REF_SPLICE	m64139_220127_180020/66650771/ccs,m64139_220127_180020/160563972/ccs	0.451	["INTERCHROMOSOMAL[chr18--chr1]"]	0.451	1.0	True
SMC5--EEF2	2	SMC5	25301	chr9:70352815:+	EEF2	35781	chr19:3980042:-	INCL_NON_REF_SPLICE	m64139_220127_180020/93063059/ccs,m64139_220127_180020/120587452/ccs	0.451	["INTERCHROMOSOMAL[chr9--chr19]"]	0.451	1.0	True
SMC2--NEK9	2	SMC2	23965	chr9:104136420:+	NEK9	44968	chr14:75106112:-	INCL_NON_REF_SPLICE	m64139_220127_180020/61277060/ccs,m64139_220127_180020/147128343/ccs	0.451	["INTERCHROMOSOMAL[chr9--chr14]"]	0.451	1.0	True
SLC35B3--PRRC2C	2	SLC35B3	9258	chr6:8418276:-	PRRC2C	33808	chr1:171536056:+	INCL_NON_REF_SPLICE	m64139_220127_180020/101712975/ccs,m64139_220127_180020/146015011/ccs	0.451	["INTERCHROMOSOMAL[chr6--chr1]"]	0.451	1.0	True
SLC25A45--SBF1	2	SLC25A45	5369	chr11:65379333:-	SBF1	34598	chr22:50446257:-	INCL_NON_REF_SPLICE	m64139_220127_180020/28838063/ccs,m64139_220127_180020/119933240/ccs	0.451	["INTERCHROMOSOMAL[chr11--chr22]"]	0.451	1.0	True
SLC25A13--NRAS	2	SLC25A13	4550	chr7:96277196:-	NRAS	24235	chr1:114716177:-	ONLY_REF_SPLICE	m64139_220127_180020/1640351/ccs,m64139_220127_180020/4917925/ccs	0.451	["INTERCHROMOSOMAL[chr7--chr1]"]	0.451	1.0	True
SEC24B--PPP2R5C	2	SEC24B	4068	chr4:109463644:+	PPP2R5C	41687	chr14:101818570:+	INCL_NON_REF_SPLICE	m64139_220127_180020/55378720/ccs,m64139_220127_180020/141756123/ccs	0.451	["INTERCHROMOSOMAL[chr4--chr14]"]	0.451	1.0	True
SLC16A1-AS1--SKAP2	2	SLC16A1-AS1	17255	chr1:112999109:+	SKAP2	35138	chr7:26844137:-	ONLY_REF_SPLICE	m64139_220127_180020/48760772/ccs,m64139_220127_180020/113444824/ccs	0.451	["INTERCHROMOSOMAL[chr1--chr7]"]	0.451	1.0	True
SH3RF1--NEK1	2	SH3RF1	3137	chr4:169268820:-	NEK1	54141	chr4:169438259:-	ONLY_REF_SPLICE	m64139_220127_180020/52691576/ccs,m64139_220127_180020/69994887/ccs	0.451	["DEEPEST2019","TumorFusionsNAR2018","TCGA_StarF2019","INTRACHROMOSOMAL[chr4:0.12Mb]"]	0.451	1.0	True
SFMBT2--ENSG00000249456	2	SFMBT2	15772	chr10:7243558:-	ENSG00000249456	37802	chr10:124942457:+	ONLY_REF_SPLICE	m64139_220127_180020/73990176/ccs,m64139_220127_180020/20513267/ccs	0.451	[]	0.451	1.0	True
SF1--PAPOLA	2	SF1	3289	chr11:64776498:-	PAPOLA	33638	chr14:96542243:+	ONLY_REF_SPLICE	m64139_220127_180020/97520401/ccs,m64139_220127_180020/90571179/ccs	0.451	["INTERCHROMOSOMAL[chr11--chr14]"]	0.451	1.0	True
SETDB1--ACTMAP	2	SETDB1	14411	chr1:150951055:+	ACTMAP	31298	chr19:40741244:-	INCL_NON_REF_SPLICE	m64139_220127_180020/54003837/ccs,m64139_220127_180020/138085890/ccs	0.451	[]	0.451	1.0	True
SESTD1--PBRM1	2	SESTD1	1182	chr2:179264651:-	PBRM1	37498	chr3:52679726:-	INCL_NON_REF_SPLICE	m64139_220127_180020/34407268/ccs,m64139_220127_180020/9962784/ccs	0.451	["INTERCHROMOSOMAL[chr2--chr3]"]	0.451	1.0	True
RAF1--MCUR1	2	RAF1	27822	chr3:12587076:-	MCUR1	49177	chr6:13787992:-	INCL_NON_REF_SPLICE	m64139_220127_180020/164759378/ccs,m64139_220127_180020/55445006/ccs	0.451	["INTERCHROMOSOMAL[chr3--chr6]"]	0.451	1.0	True
PIK3C2A--IST1	2	PIK3C2A	7626	chr11:17150498:-	IST1	56541	chr16:71922474:+	ONLY_REF_SPLICE	m64139_220127_180020/155518089/ccs,m64139_220127_180020/111413011/ccs	0.451	["INTERCHROMOSOMAL[chr11--chr16]"]	0.451	1.0	True
RAB10--ANO9	2	RAB10	1658	chr2:26034741:+	ANO9	20210	chr11:421198:-	INCL_NON_REF_SPLICE	m64139_220127_180020/86377885/ccs,m64139_220127_180020/133169539/ccs	0.451	["INTERCHROMOSOMAL[chr2--chr11]"]	0.451	1.0	True
PUM1--TRAPPC13	2	PUM1	23981	chr1:30945809:-	TRAPPC13	36424	chr5:65637826:+	INCL_NON_REF_SPLICE	m64139_220127_180020/122094811/ccs,m64139_220127_180020/101910223/ccs	0.451	["INTERCHROMOSOMAL[chr1--chr5]"]	0.451	1.0	True
PEAK1--CARD8	2	PEAK1	2202	chr15:77365163:-	CARD8	44035	chr19:48241063:-	ONLY_REF_SPLICE	m64139_220127_180020/45222448/ccs,m64139_220127_180020/18220549/ccs	0.451	["INTERCHROMOSOMAL[chr15--chr19]"]	0.451	1.0	True
PDCD10--EIF4G2	2	PDCD10	5289	chr3:167720062:-	EIF4G2	17919	chr11:10807319:-	ONLY_REF_SPLICE	m64139_220127_180020/48431853/ccs,m64139_220127_180020/42994350/ccs	0.451	["INTERCHROMOSOMAL[chr3--chr11]"]	0.451	1.0	True
PCSK7--AP4B1	2	PCSK7	24852	chr11:117208648:-	AP4B1	39729	chr1:113896894:-	INCL_NON_REF_SPLICE	m64139_220127_180020/76154254/ccs,m64139_220127_180020/31917936/ccs	0.451	["INTERCHROMOSOMAL[chr11--chr1]"]	0.451	1.0	True
PCNX4--SLC2A3	2	PCNX4	3683	chr14:60108759:+	SLC2A3	46967	chr12:7930016:-	INCL_NON_REF_SPLICE	m64139_220127_180020/108265932/ccs,m64139_220127_180020/157418362/ccs	0.451	[]	0.451	1.0	True
PARN--TAF1	2	PARN	16166	chr16:14599740:-	TAF1	65791	chrX:71387998:+	INCL_NON_REF_SPLICE	m64139_220127_180020/121505399/ccs,m64139_220127_180020/51250790/ccs	0.451	["INTERCHROMOSOMAL[chr16--chrX]"]	0.451	1.0	True
PAPLN--STRAP	2	PAPLN	22630	chr14:73273001:+	STRAP	35501	chr12:15900477:+	INCL_NON_REF_SPLICE	m64139_220127_180020/14878128/ccs,m64139_220127_180020/102500227/ccs	0.451	["INTERCHROMOSOMAL[chr14--chr12]"]	0.451	1.0	True
PAFAH1B1--MSH5	2	PAFAH1B1	15766	chr17:2670331:+	MSH5	34567	chr6:31741163:+	ONLY_REF_SPLICE	m64139_220127_180020/138217698/ccs,m64139_220127_180020/123012056/ccs	0.451	["INTERCHROMOSOMAL[chr17--chr6]"]	0.451	1.0	True
OXCT1--ENSG00000225889	2	OXCT1	2214	chr5:41862682:-	ENSG00000225889	38145	chr2:64229630:+	INCL_NON_REF_SPLICE	m64139_220127_180020/63572269/ccs,m64139_220127_180020/158269821/ccs	0.451	[]	0.451	1.0	True
ORC6--LY75	2	ORC6	8724	chr16:46697865:+	LY75	51147	chr2:159804268:-	INCL_NON_REF_SPLICE	m64139_220127_180020/104925700/ccs,m64139_220127_180020/77269423/ccs	0.451	["INTERCHROMOSOMAL[chr16--chr2]"]	0.451	1.0	True
NXF1--PAPOLA	2	NXF1	1974	chr11:62805329:-	PAPOLA	29979	chr14:96534491:+	ONLY_REF_SPLICE	m64139_220127_180020/43583424/ccs,m64139_220127_180020/129829088/ccs	0.451	["INTERCHROMOSOMAL[chr11--chr14]"]	0.451	1.0	True
NUP85--SRC	2	NUP85	17816	chr17:75234788:+	SRC	38705	chr20:37402435:+	ONLY_REF_SPLICE	m64139_220127_180020/131663881/ccs,m64139_220127_180020/32638291/ccs	0.451	["INTERCHROMOSOMAL[chr17--chr20]"]	0.451	1.0	True
NSD2--MAP4K1	2	NSD2	15640	chr4:1935262:+	MAP4K1	65448	chr19:38593337:-	ONLY_REF_SPLICE	m64139_220127_180020/141428114/ccs,m64139_220127_180020/100926503/ccs	0.451	[]	0.451	1.0	True
NIPBL--SELENOF	2	NIPBL	10935	chr5:36976402:+	SELENOF	59294	chr1:86868102:-	ONLY_REF_SPLICE	m64139_220127_180020/77334923/ccs,m64139_220127_180020/57280287/ccs	0.451	[]	0.451	1.0	True
NGDN--EPS15	2	NGDN	2927	chr14:23471605:+	EPS15	24345	chr1:51458530:-	INCL_NON_REF_SPLICE	m64139_220127_180020/3604699/ccs,m64139_220127_180020/8456273/ccs	0.451	["INTERCHROMOSOMAL[chr14--chr1]"]	0.451	1.0	True
