sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
PB10X,NCOA3:ATP5A1,chr20,47627749,+,chr18,46095131,-,Inf,0,6,FALSE,TRUE,TRUE,GF_1541,1862,HighConfidence,-
PB10X,UNC5C:LINC00176,chr4,95335410,-,chr20,64036137,+,Inf,0,6,FALSE,TRUE,TRUE,GF_1909,2510,HighConfidence,-
PB10X,TRIM36:SLC7A3,chr5,115163518,-,chrX,70926178,-,Inf,0,6,FALSE,TRUE,TRUE,GF_3473,238,HighConfidence,-
PB10X,SLC45A2:VSIG10,chr5,33951554,-,chr12,118095814,-,Inf,0,6,TRUE,TRUE,TRUE,GF_3453,1258,HighConfidence,-
PB10X,EEF1D:ZBTB40,chr8,143580506,-,chr1,22502299,+,Inf,0,6,FALSE,TRUE,TRUE,GF_574,3211,HighConfidence,-
PB10X,STAR:ACACA,chr8,38146289,-,chr17,37121490,-,Inf,0,6,TRUE,TRUE,TRUE,GF_2072,733,HighConfidence,-
PB10X,OLFM1:GRB7,chr9,135090344,+,chr17,39742934,+,Inf,0,6,FALSE,TRUE,TRUE,GF_1596,275,HighConfidence,-
PB10X,GOPC:ROS1,chr6,117566854,-,chr6,117321394,-,245.462,0,5,TRUE,TRUE,FALSE,Normal9_7288_2,387,HighConfidence,Yes
PB10X,SLC6A11:CGGBP1,chr3,10819599,+,chr3,88058223,-,77238.626,0,5,FALSE,TRUE,TRUE,GF_4581,301,HighConfidence,-
PB10X,SHKBP1:ADAD1,chr19,40588779,+,chr4,122380992,+,Inf,0,5,TRUE,TRUE,TRUE,GF_3906,252,HighConfidence,-
PB10X,TUBGCP2:DGKD,chr10,133288840,-,chr2,233434769,+,Inf,0,5,FALSE,TRUE,TRUE,GF_3674,1757,HighConfidence,-
PB10X,PLA2G16:PDK3,chr11,63590100,-,chrX,24531657,+,Inf,0,5,TRUE,TRUE,TRUE,GF_2302,636,HighConfidence,-
PB10X,PMEL:TBC1D7,chr12,55961317,-,chr6,13326963,-,Inf,0,5,FALSE,TRUE,TRUE,GF_4725,495,HighConfidence,-
PB10X,TPSB2:TREML2,chr16,1228900,-,chr6,41198429,-,Inf,0,5,FALSE,TRUE,TRUE,GF_1290,2896,HighConfidence,-
PB10X,SLFN12:IRAK4,chr17,35420274,-,chr12,43778193,+,Inf,0,5,FALSE,TRUE,TRUE,GF_3046,235,HighConfidence,-
PB10X,GALK1:RSBN1,chr17,75763897,-,chr1,113777352,-,Inf,0,5,FALSE,TRUE,TRUE,GF_135,2861,HighConfidence,-
PB10X,FKBP1B:JAK1,chr2,24060926,+,chr1,64845640,-,Inf,0,5,FALSE,TRUE,TRUE,GF_3930,395,HighConfidence,-
PB10X,TPRA1:AQP12A,chr3,127595452,-,chr2,240694433,+,Inf,0,5,FALSE,TRUE,TRUE,GF_232,371,HighConfidence,-
PB10X,RAB7A:SCML2,chr3,128807671,+,chrX,18265802,-,Inf,0,5,FALSE,TRUE,TRUE,GF_1203,1354,HighConfidence,-
PB10X,TXNDC15:ORMDL3,chr5,134893655,+,chr17,39923263,-,Inf,0,5,FALSE,TRUE,TRUE,GF_2988,1364,HighConfidence,-
PB10X,UNC5A:SERPINB12,chr5,176864981,+,chr18,63563978,+,Inf,0,5,FALSE,TRUE,TRUE,GF_364,394,HighConfidence,-
PB10X,KCNK5:BBC3,chr6,39194594,-,chr19,47228446,-,Inf,0,5,FALSE,TRUE,TRUE,GF_3129,1049,HighConfidence,-
PB10X,HMGB3:SRBD1,chrX,150986190,+,chr2,45413293,-,Inf,0,5,TRUE,TRUE,TRUE,GF_2063,390,HighConfidence,-
PB10X,MED12:SLC46A1,chrX,71119877,+,chr17,28405468,-,Inf,0,5,TRUE,TRUE,TRUE,GF_4578,569,HighConfidence,-
PB10X,CCND2:SLC13A4,chr12,4278919,+,chr7,135727624,-,Inf,0,4,FALSE,TRUE,TRUE,GF_4146,846,HighConfidence,-
PB10X,NPEPPS:KIAA1109,chr17,47592060,+,chr4,122355796,+,Inf,0,4,FALSE,TRUE,TRUE,GF_4209,540,HighConfidence,-
PB10X,SNTA1:RSL1D1,chr20,33412296,-,chr16,11846843,-,Inf,0,4,FALSE,TRUE,TRUE,GF_2654,1192,HighConfidence,-
PB10X,TEF:FBLN5,chr22,41387668,+,chr14,91877682,-,Inf,0,4,FALSE,TRUE,TRUE,GF_3101,596,HighConfidence,-
PB10X,GGT6:NUP62,chr17,4559343,-,chr19,49927848,-,Inf,0,3,FALSE,TRUE,TRUE,GF_625,353,HighConfidence,-
PB10X,OTULIN:TMEM201,chr5,14687646,+,chr1,9602069,+,Inf,0,3,FALSE,TRUE,TRUE,GF_846,1501,HighConfidence,-
PB10X,TG:HERC1,chr8,133116716,+,chr15,63633970,-,Inf,0,3,FALSE,TRUE,TRUE,GF_4113,116,HighConfidence,-
PB10X,RP11-680G10.1:GSE1,chr16,85357643,+,chr16,85633914,+,276.272,0,2,FALSE,TRUE,FALSE,Normal20_1572_5,2514,HighConfidence,-
PB10X,DSCR4:KCNJ6,chr21,38120307,-,chr21,37840709,-,279.599,0,2,FALSE,TRUE,FALSE,Normal24_4023_10,2972,HighConfidence,-
PB10X,POT1-AS1:RP11-3B12.2,chr7,125020413,+,chr7,125347125,+,326.715,0,2,FALSE,TRUE,FALSE,Normal10_9894_9,278,HighConfidence,-
PB10X,ZBTB47:ZNF586,chr3,42663127,+,chr19,57790274,+,Inf,0,2,TRUE,TRUE,TRUE,GF_1589,2312,HighConfidence,-
PB10X,INTS12:TP53TG3C,chr4,105699850,-,chr16,33195326,+,Inf,0,2,FALSE,TRUE,TRUE,GF_4047,618,HighConfidence,-
PB10X,CTB-35F21.4:MARCH2,chr5,139855688,+,chr19,8430658,+,Inf,0,2,FALSE,TRUE,TRUE,GF_3807,1362,HighConfidence,-
PB10X,THUMPD1:CAPSL,chr16,20737728,-,chr5,35910539,-,Inf,0,10,NA,FALSE,TRUE,GF_4265,891,LowConfidence,-
PB10X,MAP3K11:HNF1A,chr11,65607641,-,chr12,120988836,+,Inf,0,10,NA,FALSE,TRUE,GF_2949,2948,LowConfidence,-
PB10X,SIPA1L1:FGF21,chr14,71705323,+,chr19,48755912,+,Inf,0,10,NA,FALSE,TRUE,GF_2172,1020,LowConfidence,-
PB10X,HTR3E:CSTL1,chr3,184106324,+,chr20,23440149,+,Inf,0,10,NA,FALSE,TRUE,GF_1712,1143,LowConfidence,-
PB10X,PRSS51:FZD6,chr8,10484088,-,chr8,103328277,+,92844.189,0,9,NA,FALSE,TRUE,GF_763,512,LowConfidence,-
PB10X,MAP7D1:FBXW4,chr1,36178186,+,chr10,101612465,-,Inf,0,9,NA,FALSE,TRUE,GF_1217,647,LowConfidence,-
PB10X,KCTD16:EDNRB,chr5,144207538,+,chr13,77903340,-,Inf,0,9,NA,FALSE,TRUE,GF_3921,1483,LowConfidence,-
PB10X,MMP8:ATP5J,chr11,102716302,-,chr21,25729789,-,Inf,0,9,NA,FALSE,TRUE,GF_3757,519,LowConfidence,-
PB10X,DENND2D:SRP72,chr1,111195921,-,chr4,56469675,+,Inf,0,9,NA,FALSE,TRUE,GF_3955,2415,LowConfidence,-
PB10X,LY9:ADAMTS1,chr1,160813893,+,chr21,26839743,-,Inf,0,9,NA,FALSE,TRUE,GF_902,819,LowConfidence,-
PB10X,TBC1D4:ISL2,chr13,75299330,-,chr15,76341146,+,Inf,0,9,NA,FALSE,TRUE,GF_342,345,LowConfidence,-
PB10X,PABPC4:ZC3H12C,chr1,39562073,-,chr11,110159267,+,Inf,0,9,NA,FALSE,TRUE,GF_1606,1924,LowConfidence,-
PB10X,PPP1R13B:STS,chr14,103739825,-,chrX,7253200,+,Inf,0,9,NA,FALSE,TRUE,GF_4003,5301,LowConfidence,-
PB10X,METTL3:PLA2G4D,chr14,21503174,-,chr15,42070866,-,Inf,0,9,NA,FALSE,TRUE,GF_3484,854,LowConfidence,-
PB10X,TBC1D2B:KLF11,chr15,78003305,-,chr2,10046153,+,Inf,0,9,NA,FALSE,TRUE,GF_4450,2581,LowConfidence,-
PB10X,ABCC1:OPRM1,chr16,16131915,+,chr6,154089828,+,Inf,0,9,NA,FALSE,TRUE,GF_4093,1095,LowConfidence,-
PB10X,ADAMTS5:TMPRSS12,chr21,26943380,-,chr12,50858803,+,Inf,0,9,NA,FALSE,TRUE,GF_3209,1701,LowConfidence,-
PB10X,CMPK2:C19orf80,chr2,6861183,-,chr19,11240146,+,Inf,0,9,NA,FALSE,TRUE,GF_4121,440,LowConfidence,-
PB10X,NXPE3:TPSD1,chr3,101785668,+,chr16,1256817,+,Inf,0,9,NA,FALSE,TRUE,GF_4757,708,LowConfidence,-
PB10X,FEZF2:MARCH7,chr3,62372017,-,chr2,159743062,+,Inf,0,9,NA,FALSE,TRUE,GF_1681,2995,LowConfidence,-
PB10X,TRAF3IP2:EXTL3,chr6,111575643,-,chr8,28743102,+,Inf,0,9,NA,FALSE,TRUE,GF_1270,3433,LowConfidence,-
PB10X,LATS1:NCBP2,chr6,149676260,-,chr3,196939425,-,Inf,0,9,NA,FALSE,TRUE,GF_28,281,LowConfidence,-
PB10X,ACTB:C16orf95,chr7,5529162,-,chr16,87139337,-,Inf,0,9,NA,FALSE,TRUE,GF_1438,330,LowConfidence,-
PB10X,ZNF655:NKG7,chr7,99562473,+,chr19,51372291,-,Inf,0,9,NA,FALSE,TRUE,GF_2353,479,LowConfidence,-
PB10X,TPRN:CPSF2,chr9,137192451,-,chr14,92157676,+,Inf,0,9,NA,FALSE,TRUE,GF_2029,644,LowConfidence,-
PB10X,POT1-AS1:RP11-807H17.1,chr7,125020409,+,chr7,125431348,+,410.939,0,8,NA,FALSE,FALSE,Normal10_9875_10,438,LowConfidence,-
PB10X,TSTD2:RNF183,chr9,97611577,-,chr9,113302298,-,15690.721,0,8,NA,FALSE,TRUE,GF_1676,507,LowConfidence,-
PB10X,C11orf84:PCF11,chr11,63818113,+,chr11,83163682,+,19345.569,0,8,NA,FALSE,FALSE,GF_2402,2068,LowConfidence,-
PB10X,ACP5:PSG6,chr19,11576243,-,chr19,42910847,-,31334.604,0,8,NA,FALSE,TRUE,GF_991,827,LowConfidence,-
PB10X,RP11-468E2.1:SYNDIG1L,chr14,24211681,-,chr14,74407971,-,50196.29,0,8,NA,FALSE,TRUE,GF_3521,580,LowConfidence,-
PB10X,MCL1:HIVEP3,chr1,150578245,-,chr1,41849087,-,108729.158,0,8,NA,FALSE,FALSE,GF_2133,1036,LowConfidence,-
PB10X,NAGPA:KRBA1,chr16,5028882,-,chr7,149719547,+,Inf,0,8,NA,FALSE,TRUE,GF_3003,732,LowConfidence,-
PB10X,PHYHIPL:GRINA,chr10,59234478,+,chr8,143991200,+,Inf,0,8,NA,FALSE,TRUE,GF_2110,327,LowConfidence,-
PB10X,C1orf194:FBXW7,chr1,109107008,-,chr4,152332703,-,Inf,0,8,NA,FALSE,TRUE,GF_2694,454,LowConfidence,-
PB10X,DLAT:GON4L,chr11,112028925,+,chr1,155767534,-,Inf,0,8,NA,FALSE,TRUE,GF_1515,717,LowConfidence,-
PB10X,BACE1:THNSL2,chr11,117291712,-,chr2,88182961,+,Inf,0,8,NA,FALSE,TRUE,GF_4426,587,LowConfidence,-
PB10X,TMEM225:KLHL23,chr11,123884074,-,chr2,169741393,+,Inf,0,8,NA,FALSE,TRUE,GF_3994,2663,LowConfidence,-
PB10X,TMEM132A:OCLN,chr11,60931865,+,chr5,69509141,+,Inf,0,8,NA,FALSE,TRUE,GF_1832,1385,LowConfidence,-
PB10X,GANAB:BEAN1,chr11,62626066,-,chr16,66469607,+,Inf,0,8,NA,FALSE,TRUE,GF_2306,432,LowConfidence,-
PB10X,CAPN5:FBXO4,chr11,77122029,+,chr5,41927028,+,Inf,0,8,NA,FALSE,TRUE,GF_4178,1586,LowConfidence,-
PB10X,CNTN2:TAF1,chr1,205067231,+,chrX,71376951,+,Inf,0,8,NA,FALSE,TRUE,GF_277,791,LowConfidence,-
PB10X,RAB35:LRP12,chr12,120098811,-,chr8,104499514,-,Inf,0,8,NA,FALSE,TRUE,GF_943,539,LowConfidence,-
PB10X,GPR133:MPZL2,chr12,131104910,+,chr11,118262646,-,Inf,0,8,NA,FALSE,TRUE,GF_313,775,LowConfidence,-
PB10X,PPP1R3E:WNT7B,chr14,23301298,-,chr22,45950142,-,Inf,0,8,NA,FALSE,TRUE,GF_3174,1745,LowConfidence,-
PB10X,DIS3L:ZNF251,chr15,66306932,+,chr8,144753795,-,Inf,0,8,NA,FALSE,TRUE,GF_2548,636,LowConfidence,-
PB10X,GLIS2:DAG1,chr16,4335373,+,chr3,49510436,+,Inf,0,8,NA,FALSE,TRUE,GF_1293,963,LowConfidence,-
PB10X,DNAJC11:DNAJC18,chr1,6636118,-,chr5,139420208,-,Inf,0,8,NA,FALSE,TRUE,GF_40,2063,LowConfidence,-
PB10X,CDH1:DUOXA2,chr16,68829780,+,chr15,45117101,+,Inf,0,8,NA,FALSE,TRUE,GF_2450,603,LowConfidence,-
PB10X,CCDC57:GPX3,chr17,82178479,-,chr5,151020833,+,Inf,0,8,NA,FALSE,TRUE,GF_2769,716,LowConfidence,-
PB10X,GATAD2A:MB,chr19,19492416,+,chr22,35611082,-,Inf,0,8,NA,FALSE,TRUE,GF_2369,879,LowConfidence,-
PB10X,FASTKD1:CLCC1,chr2,169563227,-,chr1,108949911,-,Inf,0,8,NA,FALSE,TRUE,GF_1272,799,LowConfidence,-
PB10X,CYP27A1:SPON2,chr2,218813063,+,chr4,1172058,-,Inf,0,8,NA,FALSE,TRUE,GF_2667,1145,LowConfidence,-
PB10X,CCDC116:MCMBP,chr22,21634558,+,chr10,119849558,-,Inf,0,8,NA,FALSE,TRUE,GF_4201,628,LowConfidence,-
PB10X,BCR:FUT10,chr22,23311898,+,chr8,33389789,-,Inf,0,8,NA,FALSE,TRUE,GF_4012,2583,LowConfidence,-
PB10X,MUC13:NARFL,chr3,124923527,-,chr16,731693,-,Inf,0,8,NA,FALSE,TRUE,GF_655,753,LowConfidence,-
PB10X,HTR3D:FBXO27,chr3,184038254,+,chr19,39031312,-,Inf,0,8,NA,FALSE,TRUE,GF_2897,450,LowConfidence,-
PB10X,ACOX2:AAK1,chr3,58524431,-,chr2,69643258,-,Inf,0,8,NA,FALSE,TRUE,GF_3551,811,LowConfidence,-
PB10X,RP11-321E2.4:RSRP1,chr5,17483939,+,chr1,25245286,-,Inf,0,8,NA,FALSE,TRUE,GF_3227,585,LowConfidence,-
PB10X,EPHA1:GUCA1B,chr7,143397920,-,chr6,42185777,-,Inf,0,8,NA,FALSE,TRUE,GF_4292,920,LowConfidence,-
PB10X,ABCB5:SLC2A1,chr7,20650128,+,chr1,42927807,-,Inf,0,8,NA,FALSE,TRUE,GF_864,1286,LowConfidence,-
PB10X,TNRC18:KL,chr7,5376855,-,chr13,33060680,+,Inf,0,8,NA,FALSE,TRUE,GF_1869,887,LowConfidence,-
PB10X,LZTS1:SERTAD4,chr8,20250109,-,chr1,210239510,+,Inf,0,8,NA,FALSE,TRUE,GF_1552,3119,LowConfidence,-
PB10X,DENND4C:JMJD7-PLA2G4B,chr9,19352639,+,chr15,41846206,+,Inf,0,8,NA,FALSE,TRUE,GF_970,617,LowConfidence,-
PB10X,FAM9C:GZMA,chrX,13043732,-,chr5,55105497,+,Inf,0,8,NA,FALSE,TRUE,GF_1403,168,LowConfidence,-
PB10X,CRTC2:CFAP45,chr1,153951259,-,chr1,159873163,-,5921.904,0,7,NA,FALSE,TRUE,GF_3282,318,LowConfidence,-
PB10X,PTGES2:RP11-402G3.3,chr9,128122362,-,chr9,114671813,-,13450.549,0,7,NA,FALSE,FALSE,GF_4741,350,LowConfidence,-
PB10X,PHGDH:MCOLN3,chr1,119743026,+,chr1,85021255,-,34721.771,0,7,NA,FALSE,TRUE,GF_4589,1382,LowConfidence,-
PB10X,NUTM2D:CUZD1,chr10,87364356,+,chr10,122841309,-,35476.953,0,7,NA,FALSE,TRUE,GF_640,1623,LowConfidence,-
PB10X,WNT16:CCT6A,chr7,121329796,+,chr7,56058012,+,65271.784,0,7,NA,FALSE,TRUE,GF_3502,412,LowConfidence,-
PB10X,AMACR:MACROD1,chr5,33998643,-,chr11,64151344,-,Inf,0,7,NA,FALSE,TRUE,GF_1720,410,LowConfidence,-
PB10X,CASP7:EIF2B3,chr10,113725518,+,chr1,44981168,-,Inf,0,7,NA,FALSE,TRUE,GF_171,422,LowConfidence,-
PB10X,LRIG2:C2CD2L,chr1,113110549,+,chr11,119111263,+,Inf,0,7,NA,FALSE,TRUE,GF_1013,4380,LowConfidence,-
PB10X,PSMB4:BCL2L13,chr1,151400168,+,chr22,17655673,+,Inf,0,7,NA,FALSE,TRUE,GF_1001,288,LowConfidence,-
PB10X,BSCL2:MARS,chr11,62707112,-,chr12,57490284,+,Inf,0,7,NA,FALSE,TRUE,GF_2455,540,LowConfidence,-
PB10X,TCIRG1:SRSF10,chr11,68049774,+,chr1,23975061,-,Inf,0,7,NA,FALSE,TRUE,GF_4335,576,LowConfidence,-
PB10X,HEBP1:SLC19A1,chr12,12989277,-,chr21,45525945,-,Inf,0,7,NA,FALSE,TRUE,GF_2864,336,LowConfidence,-
PB10X,KLHL42:CCNB2,chr12,27797329,+,chr15,59114721,+,Inf,0,7,NA,FALSE,TRUE,GF_1961,1178,LowConfidence,-
PB10X,XPO4:ST8SIA3,chr13,20862718,-,chr18,57356930,+,Inf,0,7,NA,FALSE,TRUE,GF_3244,9660,LowConfidence,-
PB10X,DCT:IFI44,chr13,94466564,-,chr1,78662710,+,Inf,0,7,NA,FALSE,TRUE,GF_1504,302,LowConfidence,-
PB10X,SLC22A17:ANKHD1,chr14,23347102,-,chr5,140535375,+,Inf,0,7,NA,FALSE,TRUE,GF_4365,727,LowConfidence,-
PB10X,CCDC30:CERS1,chr1,42646285,+,chr19,18879033,-,Inf,0,7,NA,FALSE,TRUE,GF_477,792,LowConfidence,-
PB10X,HAPLN3:FAM229B,chr15,88881359,-,chr6,112097057,+,Inf,0,7,NA,FALSE,TRUE,GF_595,518,LowConfidence,-
PB10X,CLEC19A:PRCD,chr16,19298818,+,chr17,76545544,+,Inf,0,7,NA,FALSE,TRUE,GF_4602,334,LowConfidence,-
PB10X,NTHL1:SLC25A5,chr16,2043568,-,chrX,119469683,+,Inf,0,7,NA,FALSE,TRUE,GF_112,804,LowConfidence,-
PB10X,SBK1:ZNF154,chr16,28319178,+,chr19,57704978,-,Inf,0,7,NA,FALSE,TRUE,GF_880,5553,LowConfidence,-
PB10X,PLEKHG4:DMTF1,chr16,67288388,+,chr7,87193742,+,Inf,0,7,NA,FALSE,TRUE,GF_1810,338,LowConfidence,-
PB10X,TPPP3:DUSP3,chr16,67390925,-,chr17,43774937,-,Inf,0,7,NA,FALSE,TRUE,GF_2277,1652,LowConfidence,-
PB10X,IRF8:EIF6,chr16,85920205,+,chr20,35280118,-,Inf,0,7,NA,FALSE,TRUE,GF_242,1186,LowConfidence,-
PB10X,HDAC5:DOCK2,chr17,44093092,-,chr5,170078983,+,Inf,0,7,NA,FALSE,TRUE,GF_1839,1896,LowConfidence,-
