TMEM39A	ASCC3	ENSG00000176142.13	ENSG00000112249.14	chr3	chr6
LRRC58	SLCO5A1	ENSG00000163428.4	ENSG00000137571.11	chr3	chr8
CNTN2	TAF1	ENSG00000184144.12	ENSG00000147133.17	chr1	chrX
NAA16	CCDC141	ENSG00000172766.19	ENSG00000163492.16	chr13	chr2
NFYA	CYP2C19	ENSG00000001167.15	ENSG00000165841.11	chr6	chr10
MAGI2	PYHIN1	ENSG00000187391.23	ENSG00000163564.15	chr7	chr1
ADGRD1	MPZL2	ENSG00000111452.13	ENSG00000149573.9	chr12	chr11
MAX	FGF14	ENSG00000125952.21	ENSG00000102466.17	chr14	chr13
RHOXF1	TAF5L	ENSG00000101883.6	ENSG00000135801.11	chrX	chr1
TBC1D4	ISL2	ENSG00000136111.14	ENSG00000159556.10	chr13	chr15
MAP3K10	SLC35F4	ENSG00000130758.8	ENSG00000151812.15	chr19	chr14
DRC7	MYL12B	ENSG00000159625.15	ENSG00000118680.14	chr16	chr18
UNC5A	SERPINB12	ENSG00000113763.12	ENSG00000166634.7	chr5	chr18
BEND2	ADIPOR2	ENSG00000177324.14	ENSG00000006831.10	chrX	chr12
FABP4	IRF9	ENSG00000170323.9	ENSG00000213928.10	chr8	chr14
EXOC3L4	LYST	ENSG00000205436.8	ENSG00000143669.16	chr14	chr1
MEN1	TRIM2	ENSG00000133895.19	ENSG00000109654.16	chr11	chr4
KIZ	ATMIN	ENSG00000088970.16	ENSG00000166454.10	chr20	chr16
LRP10	TNXB	ENSG00000197324.9	ENSG00000168477.21	chr14	chr6
ANKMY1	CCDC91	ENSG00000144504.16	ENSG00000123106.11	chr2	chr12
XRCC4	FHIP2B	ENSG00000152422.16	ENSG00000158863.22	chr5	chr8
GH2	LARGE2	ENSG00000136487.18	ENSG00000165905.18	chr17	chr11
TCEANC	CSGALNACT1	ENSG00000176896.9	ENSG00000147408.16	chrX	chr8
CCDC30	GDF1	ENSG00000186409.19	ENSG00000130283.9	chr1	chr19
COX6B1	KANSL1L	ENSG00000126267.11	ENSG00000144445.17	chr19	chr2
MOGAT2	TNFRSF4	ENSG00000166391.15	ENSG00000186827.12	chr11	chr1
ICAM3	ABCG1	ENSG00000076662.11	ENSG00000160179.19	chr19	chr21
LCN12	NBEA	ENSG00000184925.12	ENSG00000172915.20	chr9	chr13
RBP3	HELT	ENSG00000265203.2	ENSG00000187821.9	chr10	chr4
PPIL3	USPL1	ENSG00000240344.10	ENSG00000132952.12	chr2	chr13
BSG	PFN4	ENSG00000172270.22	ENSG00000176732.7	chr19	chr2
TCFL5	RNF146	ENSG00000101190.13	ENSG00000118518.17	chr20	chr6
WDR7	MFN2	ENSG00000091157.15	ENSG00000116688.18	chr18	chr1
SMARCD2	RRAGC	ENSG00000108604.18	ENSG00000116954.8	chr17	chr1
EEF1D	ZBTB40	ENSG00000104529.19	ENSG00000184677.18	chr8	chr1
GNAQ	TP53BP2	ENSG00000156052.11	ENSG00000143514.18	chr9	chr1
HAPLN3	FAM229B	ENSG00000140511.12	ENSG00000203778.8	chr15	chr6
ABHD11	KLHL18	ENSG00000106077.19	ENSG00000114648.12	chr7	chr3
PPP1R42	PSG5	ENSG00000178125.15	ENSG00000204941.14	chr8	chr19
GGT6	NUP62	ENSG00000167741.11	ENSG00000213024.13	chr17	chr19
NUTM2D	ENSG00000286088	ENSG00000214562.15	ENSG00000286088.1	chr10	chr10
CENPO	ACAD10	ENSG00000138092.11	ENSG00000111271.15	chr2	chr12
MUC13	CIAO3	ENSG00000173702.7	ENSG00000103245.14	chr3	chr16
KLF8	ILDR1	ENSG00000102349.18	ENSG00000145103.15	chrX	chr3
ZCCHC2	FAM180A	ENSG00000141664.10	ENSG00000189320.9	chr18	chr7
ATP2A3	TBC1D8B	ENSG00000074370.18	ENSG00000133138.20	chr17	chrX
PELI3	ARTN	ENSG00000174516.15	ENSG00000117407.17	chr11	chr1
UMAD1	MXI1	ENSG00000219545.12	ENSG00000119950.21	chr7	chr10
WNT3	OPN3	ENSG00000108379.11	ENSG00000054277.14	chr17	chr1
WNT9B	CAB39L	ENSG00000158955.11	ENSG00000102547.19	chr17	chr13
POLRMT	GPR160	ENSG00000099821.14	ENSG00000173890.17	chr19	chr3
ABCC11	EML1	ENSG00000121270.16	ENSG00000066629.19	chr16	chr14
MROH6	CSPG4	ENSG00000204839.9	ENSG00000173546.7	chr8	chr15
PRSS51	FZD6	ENSG00000253649.6	ENSG00000164930.12	chr8	chr8
SRSF4	MCRIP2	ENSG00000116350.18	ENSG00000172366.20	chr1	chr16
CBY1	ZACN	ENSG00000100211.12	ENSG00000186919.13	chr22	chr17
CCDC88A	NUP210	ENSG00000115355.18	ENSG00000132182.13	chr2	chr3
FAAP20	EPHB6	ENSG00000162585.17	ENSG00000106123.12	chr1	chr7
SAXO2	THAP7	ENSG00000188659.10	ENSG00000184436.12	chr15	chr22
CDK5RAP1	GGNBP2	ENSG00000101391.21	ENSG00000278311.5	chr20	chr17
ALG13	SLC7A14	ENSG00000101901.13	ENSG00000013293.6	chrX	chr3
SLC30A4	TMEM64	ENSG00000104154.7	ENSG00000180694.14	chr15	chr8
OTULIN	TMEM201	ENSG00000154124.6	ENSG00000188807.13	chr5	chr1
GATAD2B	RORC	ENSG00000143614.11	ENSG00000143365.20	chr1	chr1
ABCB5	SLC2A1	ENSG00000004846.17	ENSG00000117394.24	chr7	chr1
GARIN1A	DNAAF5	ENSG00000205085.13	ENSG00000164818.16	chr7	chr7
SBK1	ZNF154	ENSG00000188322.8	ENSG00000179909.16	chr16	chr19
TTLL2	RXRB	ENSG00000120440.15	ENSG00000204231.11	chr6	chr6
LY9	ADAMTS1	ENSG00000122224.18	ENSG00000154734.16	chr1	chr21
RSBN1L	MED27	ENSG00000187257.16	ENSG00000160563.14	chr7	chr9
UBE2S	HSPBP1	ENSG00000108106.14	ENSG00000133265.11	chr19	chr19
CCDC170	IL18BP	ENSG00000120262.10	ENSG00000137496.19	chr6	chr11
RAB35	LRP12	ENSG00000111737.12	ENSG00000147650.12	chr12	chr8
RAB29	EDNRA	ENSG00000117280.13	ENSG00000151617.17	chr1	chr4
NTF4	GLA	ENSG00000225950.9	ENSG00000102393.15	chr19	chrX
DENND4C	PLA2G4B	ENSG00000137145.21	ENSG00000243708.11	chr9	chr15
MMP20	SLC7A10	ENSG00000137674.4	ENSG00000130876.11	chr11	chr19
ACP5	PSG6	ENSG00000102575.14	ENSG00000170848.16	chr19	chr19
PSMB4	BCL2L13	ENSG00000159377.11	ENSG00000099968.18	chr1	chr22
SERPINA4	SMARCC1	ENSG00000100665.12	ENSG00000173473.11	chr14	chr3
LRIG2	C2CD2L	ENSG00000198799.12	ENSG00000172375.14	chr1	chr11
IFNAR1	CHMP4B	ENSG00000142166.15	ENSG00000101421.4	chr21	chr20
MDK	HNF1B	ENSG00000110492.17	ENSG00000275410.6	chr11	chr17
FGF8	NAXE	ENSG00000107831.14	ENSG00000163382.13	chr10	chr1
NSUN7	CLRN1	ENSG00000179299.17	ENSG00000163646.12	chr4	chr3
CLEC7A	CHAD	ENSG00000172243.18	ENSG00000136457.10	chr12	chr17
CFTR	ENSG00000269242	ENSG00000001626.18	ENSG00000269242.1	chr7	chr19
PXMP2	OR2B11	ENSG00000176894.10	ENSG00000177535.10	chr12	chr1
NEIL3	BMP1	ENSG00000109674.4	ENSG00000168487.20	chr4	chr8
PLEKHG6	SLC43A1	ENSG00000008323.16	ENSG00000149150.9	chr12	chr11
OVOL1	FAM90A9	ENSG00000172818.10	ENSG00000285607.1	chr11	chr8
MCCC1	APOBEC3F	ENSG00000078070.14	ENSG00000128394.17	chr3	chr22
CYP4F12	PCOLCE2	ENSG00000186204.15	ENSG00000163710.9	chr19	chr3
TTPA	MMAA	ENSG00000137561.5	ENSG00000151611.17	chr8	chr4
CLEC2D	ERF	ENSG00000069493.15	ENSG00000105722.10	chr12	chr19
SLC16A14	CSF3	ENSG00000163053.11	ENSG00000108342.13	chr2	chr17
TRMT2A	ZZEF1	ENSG00000099899.16	ENSG00000074755.15	chr22	chr17
CUL3	GPR137C	ENSG00000036257.14	ENSG00000180998.12	chr2	chr14
POR	FAM90A26	ENSG00000127948.17	ENSG00000229924.3	chr7	chr4
RAB7A	SCML2	ENSG00000075785.14	ENSG00000102098.19	chr3	chrX
POLR1B	DDB2	ENSG00000125630.16	ENSG00000134574.12	chr2	chr11
MAP7D1	FBXW4	ENSG00000116871.16	ENSG00000107829.15	chr1	chr10
BFSP2	PRPF4B	ENSG00000170819.5	ENSG00000112739.17	chr3	chr6
TBC1D25	NUBP1	ENSG00000068354.16	ENSG00000103274.11	chrX	chr16
KIF27	CPAMD8	ENSG00000165115.15	ENSG00000160111.15	chr9	chr19
KIF26B	LMO1	ENSG00000162849.16	ENSG00000166407.14	chr1	chr11
TRAF3IP2	EXTL3	ENSG00000056972.21	ENSG00000012232.10	chr6	chr8
FASTKD1	CLCC1	ENSG00000138399.18	ENSG00000121940.17	chr2	chr1
TPSAB1	TREML2	ENSG00000172236.18	ENSG00000112195.9	chr16	chr6
GLIS2	DAG1	ENSG00000126603.9	ENSG00000173402.13	chr16	chr3
YJEFN3	RPS27L	ENSG00000250067.12	ENSG00000185088.14	chr19	chr15
TAPT1	RFNG	ENSG00000169762.17	ENSG00000169733.12	chr4	chr17
SLC35E2B	TUSC2	ENSG00000189339.12	ENSG00000114383.10	chr1	chr3
LRRC75A	LCT	ENSG00000181350.12	ENSG00000115850.10	chr17	chr2
CCDC102B	RILP	ENSG00000150636.17	ENSG00000167705.12	chr18	chr17
MACF1	DYNC1LI2	ENSG00000127603.32	ENSG00000135720.13	chr1	chr16
FAM149A	RPL28	ENSG00000109794.14	ENSG00000108107.15	chr4	chr19
SPACA9	CD84	ENSG00000165698.16	ENSG00000066294.15	chr9	chr1
DKK4	NAPSA	ENSG00000104371.5	ENSG00000131400.9	chr8	chr19
CACNA1E	CARHSP1	ENSG00000198216.14	ENSG00000153048.11	chr1	chr16
FAM9C	GZMA	ENSG00000187268.12	ENSG00000145649.8	chrX	chr5
ELP2	CCP110	ENSG00000134759.14	ENSG00000103540.17	chr18	chr16
FGFR1	MMP12	ENSG00000077782.23	ENSG00000262406.3	chr8	chr11
ACTB	C16orf95	ENSG00000075624.17	ENSG00000260456.7	chr7	chr16
CCNP	SERPINA12	ENSG00000105219.10	ENSG00000165953.10	chr19	chr14
RAB3D	HNRNPUL1	ENSG00000105514.8	ENSG00000105323.18	chr19	chr19
ZFYVE28	ACAA2	ENSG00000159733.14	ENSG00000167315.18	chr4	chr18
GOLM1	LSM6	ENSG00000135052.16	ENSG00000164167.12	chr9	chr4
KCNC3	GRM3	ENSG00000131398.15	ENSG00000198822.11	chr19	chr7
TTC14	FMO1	ENSG00000163728.11	ENSG00000010932.17	chr3	chr1
DCT	IFI44	ENSG00000080166.16	ENSG00000137965.11	chr13	chr1
DLAT	GON4L	ENSG00000150768.17	ENSG00000116580.20	chr11	chr1
ZNF57	STIL	ENSG00000171970.14	ENSG00000123473.17	chr19	chr1
BLOC1S2	ATP13A3	ENSG00000196072.12	ENSG00000133657.17	chr10	chr3
NCOA3	ATP5F1A	ENSG00000124151.19	ENSG00000152234.16	chr20	chr18
LZTS1	SERTAD4	ENSG00000061337.16	ENSG00000082497.12	chr8	chr1
ZZZ3	SLC6A17	ENSG00000036549.13	ENSG00000197106.7	chr1	chr1
TAGLN	PLD5	ENSG00000149591.17	ENSG00000180287.17	chr11	chr1
MEF2A	VDR	ENSG00000068305.19	ENSG00000111424.12	chr15	chr12
ZBTB47	ZNF586	ENSG00000114853.15	ENSG00000083828.16	chr3	chr19
OLFM1	GRB7	ENSG00000130558.20	ENSG00000141738.14	chr9	chr17
PABPC4	ZC3H12C	ENSG00000090621.15	ENSG00000149289.11	chr1	chr11
CXorf38	LIPN	ENSG00000185753.13	ENSG00000204020.6	chrX	chr10
BCAS3	FOXRED1	ENSG00000141376.24	ENSG00000110074.12	chr17	chr11
VWA5B1	RNF41	ENSG00000158816.16	ENSG00000181852.18	chr1	chr12
ADCY9	MRPS9	ENSG00000162104.10	ENSG00000135972.9	chr16	chr2
BTBD2	PRPS1	ENSG00000133243.10	ENSG00000147224.13	chr19	chrX
TGFBR2	CRABP1	ENSG00000163513.19	ENSG00000166426.8	chr3	chr15
TSTD2	RNF183	ENSG00000136925.15	ENSG00000165188.14	chr9	chr9
FEZF2	MARCHF7	ENSG00000153266.13	ENSG00000136536.15	chr3	chr2
ANKRD20A1	ABHD6	ENSG00000260691.8	ENSG00000163686.15	chr9	chr3
TLN2	NIP7	ENSG00000171914.17	ENSG00000132603.15	chr15	chr16
HTR3E	CSTL1	ENSG00000186038.9	ENSG00000125823.13	chr3	chr20
AMACR	MACROD1	ENSG00000242110.9	ENSG00000133315.12	chr5	chr11
DDX39B	HPS4	ENSG00000198563.14	ENSG00000100099.22	chr6	chr22
WNT2B	GINS3	ENSG00000134245.18	ENSG00000181938.14	chr1	chr16
ENSG00000286022	GBP5	ENSG00000286022.1	ENSG00000154451.15	chr20	chr1
TMEM129	TBC1D2	ENSG00000168936.12	ENSG00000095383.20	chr4	chr9
SLC5A9	ITGB2	ENSG00000117834.13	ENSG00000160255.19	chr1	chr21
RAD51B	TP53I3	ENSG00000182185.19	ENSG00000115129.14	chr14	chr2
WDR81	TAF3	ENSG00000167716.19	ENSG00000165632.9	chr17	chr10
CARNMT1	FDFT1	ENSG00000156017.13	ENSG00000079459.14	chr9	chr8
PLEKHG4	DMTF1	ENSG00000196155.13	ENSG00000135164.19	chr16	chr7
SFTPC	CCDC175	ENSG00000168484.13	ENSG00000151838.12	chr8	chr14
TMEM132A	OCLN	ENSG00000006118.15	ENSG00000197822.12	chr11	chr5
HDAC5	DOCK2	ENSG00000108840.16	ENSG00000134516.20	chr17	chr5
THOC3	GET3	ENSG00000051596.10	ENSG00000198356.12	chr5	chr19
ALDH5A1	TMEM128	ENSG00000112294.14	ENSG00000132406.12	chr6	chr4
TNRC18	KL	ENSG00000182095.15	ENSG00000133116.8	chr7	chr13
HAS3	CTLA4	ENSG00000103044.11	ENSG00000163599.18	chr16	chr2
TMCO6	CDK20	ENSG00000113119.13	ENSG00000156345.18	chr5	chr9
CCM2	KIF3A	ENSG00000136280.17	ENSG00000131437.16	chr7	chr5
UNC5C	C20orf204	ENSG00000182168.16	ENSG00000196421.9	chr4	chr20
USP37	MAN2C1	ENSG00000135913.11	ENSG00000140400.18	chr2	chr15
ITGB4	AMY2A	ENSG00000132470.14	ENSG00000243480.8	chr17	chr1
RBM19	NAGS	ENSG00000122965.11	ENSG00000161653.11	chr12	chr17
RSPO3	LBH	ENSG00000146374.14	ENSG00000213626.13	chr6	chr2
APOBEC3H	IGDCC3	ENSG00000100298.16	ENSG00000174498.14	chr22	chr15
KLHL42	CCNB2	ENSG00000087448.11	ENSG00000157456.8	chr12	chr15
FAM90A7	MEGF9	ENSG00000285975.1	ENSG00000106780.9	chr8	chr9
HLA-DQA1	PUM1	ENSG00000196735.13	ENSG00000134644.16	chr6	chr1
PVALEF	BCL11A	ENSG00000225180.8	ENSG00000119866.22	chr17	chr2
ATF4	TATDN2	ENSG00000128272.18	ENSG00000157014.11	chr22	chr3
PALS2	HSD11B2	ENSG00000105926.16	ENSG00000176387.7	chr7	chr16
TM4SF19	JAZF1	ENSG00000145107.16	ENSG00000153814.13	chr3	chr7
TPRN	CPSF2	ENSG00000176058.13	ENSG00000165934.13	chr9	chr14
CYSTM1	CRHBP	ENSG00000120306.11	ENSG00000145708.11	chr5	chr5
NECAP2	SMPD4	ENSG00000157191.20	ENSG00000136699.20	chr1	chr2
HMGB3	SRBD1	ENSG00000029993.15	ENSG00000068784.13	chrX	chr2
STAR	ACACA	ENSG00000147465.12	ENSG00000278540.5	chr8	chr17
PAQR5	C9orf57	ENSG00000137819.14	ENSG00000204669.11	chr15	chr9
ZNF792	MESD	ENSG00000180884.10	ENSG00000117899.11	chr19	chr15
PPP2R3C	PGLYRP2	ENSG00000092020.11	ENSG00000161031.13	chr14	chr19
PHYHIPL	GRINA	ENSG00000165443.12	ENSG00000178719.17	chr10	chr8
KMT5C	CAPN10	ENSG00000133247.14	ENSG00000142330.20	chr19	chr2
PDLIM2	SORL1	ENSG00000120913.24	ENSG00000137642.13	chr8	chr11
MCL1	HIVEP3	ENSG00000143384.14	ENSG00000127124.16	chr1	chr1
MSH3	ZNF76	ENSG00000113318.11	ENSG00000065029.15	chr5	chr6
FAM162B	CYP17A1	ENSG00000183807.8	ENSG00000148795.7	chr6	chr10
ALDH1L1	ZNF804B	ENSG00000144908.14	ENSG00000182348.7	chr3	chr7
SIPA1L1	FGF21	ENSG00000197555.10	ENSG00000105550.10	chr14	chr19
ZNF366	MAD1L1	ENSG00000178175.12	ENSG00000002822.16	chr5	chr7
NCF2	MAPKAP1	ENSG00000116701.16	ENSG00000119487.17	chr1	chr9
TMED2	LONP1	ENSG00000086598.11	ENSG00000196365.12	chr12	chr19
PHOSPHO1	MRPL19	ENSG00000173868.12	ENSG00000115364.14	chr17	chr2
CLTC	ANKUB1	ENSG00000141367.13	ENSG00000206199.11	chr17	chr3
BTBD1	ATRX	ENSG00000064726.10	ENSG00000085224.23	chr15	chrX
SIRPB1	SLC7A2	ENSG00000101307.16	ENSG00000003989.18	chr20	chr8
DMRT1	GABBR2	ENSG00000137090.12	ENSG00000136928.7	chr9	chr9
EXTL2	HLA-A	ENSG00000162694.14	ENSG00000206503.14	chr1	chr6
RAB5IF	GPANK1	ENSG00000101084.19	ENSG00000204438.11	chr20	chr6
TPPP3	DUSP3	ENSG00000159713.11	ENSG00000108861.9	chr16	chr17
NR1I2	CTSH	ENSG00000144852.20	ENSG00000103811.18	chr3	chr15
PLAAT3	PDK3	ENSG00000176485.14	ENSG00000067992.17	chr11	chrX
GANAB	BEAN1	ENSG00000089597.18	ENSG00000166546.15	chr11	chr16
KIFC2	SNED1	ENSG00000167702.13	ENSG00000162804.15	chr8	chr2
ENSG00000285446	AANAT	ENSG00000285446.1	ENSG00000129673.10	chr6	chr17
CCL26	RITA1	ENSG00000006606.9	ENSG00000139405.16	chr7	chr12
IKZF1	NIN	ENSG00000185811.21	ENSG00000100503.27	chr7	chr14
ZNF655	NKG7	ENSG00000197343.11	ENSG00000105374.10	chr7	chr19
GATAD2A	MB	ENSG00000167491.18	ENSG00000198125.13	chr19	chr22
GNS	TANK	ENSG00000135677.11	ENSG00000136560.14	chr12	chr2
COQ6	ARHGAP45	ENSG00000119723.17	ENSG00000180448.11	chr14	chr19
SPINDOC	PCF11	ENSG00000168005.9	ENSG00000165494.12	chr11	chr11
DMWD	DDC	ENSG00000185800.12	ENSG00000132437.18	chr19	chr7
SLC35A2	PWWP3B	ENSG00000102100.16	ENSG00000157502.13	chrX	chrX
PXT1	ZNF425	ENSG00000179165.12	ENSG00000204947.9	chr6	chr7
FAM90A11P	ITM2B	ENSG00000233115.4	ENSG00000136156.15	chr8	chr13
CDH1	DUOXA2	ENSG00000039068.20	ENSG00000140274.14	chr16	chr15
BSCL2	MARS1	ENSG00000168000.16	ENSG00000166986.15	chr11	chr12
PHKG1	RBM4B	ENSG00000164776.11	ENSG00000173914.12	chr7	chr11
RAB3C	NEB	ENSG00000152932.8	ENSG00000183091.21	chr5	chr2
C1QTNF1	SIGIRR	ENSG00000173918.15	ENSG00000185187.13	chr17	chr11
UBAP1L	KLHDC8A	ENSG00000246922.10	ENSG00000162873.15	chr15	chr1
ORC6	ACTC1	ENSG00000091651.9	ENSG00000159251.9	chr16	chr15
BLMH	ZNF689	ENSG00000108578.15	ENSG00000156853.13	chr17	chr16
KLK4	ECI1	ENSG00000167749.12	ENSG00000167969.13	chr19	chr16
ACVR2A	GPR83	ENSG00000121989.15	ENSG00000123901.9	chr2	chr11
TULP4	CHCHD10	ENSG00000130338.13	ENSG00000250479.9	chr6	chr22
DIS3L	ZNF251	ENSG00000166938.13	ENSG00000198169.9	chr15	chr8
FAT2	PRR5	ENSG00000086570.13	ENSG00000186654.21	chr5	chr22
DNAAF10	ZNF736	ENSG00000243667.7	ENSG00000234444.10	chr2	chr7
VCX3A	SEC22C	ENSG00000169059.13	ENSG00000093183.14	chrX	chr3
ZNF862	MAPRE3	ENSG00000106479.11	ENSG00000084764.12	chr7	chr2
AIMP2	SREBF1	ENSG00000106305.10	ENSG00000072310.18	chr7	chr17
MATN4	THAP5	ENSG00000124159.17	ENSG00000177683.14	chr20	chr7
RANGRF	LRBA	ENSG00000108961.14	ENSG00000198589.15	chr17	chr4
AQP3	PDIA3	ENSG00000165272.16	ENSG00000167004.14	chr9	chr15
UMPS	TLN1	ENSG00000114491.14	ENSG00000137076.22	chr3	chr9
CYB5D2	CDON	ENSG00000167740.10	ENSG00000064309.16	chr17	chr11
SNTA1	RSL1D1	ENSG00000101400.6	ENSG00000171490.13	chr20	chr16
CYP27A1	SPON2	ENSG00000135929.9	ENSG00000159674.12	chr2	chr4
APOBEC3G	HNRNPH1	ENSG00000239713.9	ENSG00000169045.19	chr22	chr5
SC5D	MMP14	ENSG00000109929.10	ENSG00000157227.14	chr11	chr14
CFAP276	FBXW7	ENSG00000179902.13	ENSG00000109670.17	chr1	chr4
SCART1	DUSP26	ENSG00000214279.13	ENSG00000133878.9	chr10	chr8
RMND5A	ARMC5	ENSG00000153561.13	ENSG00000140691.18	chr2	chr16
SAMD10	SYT8	ENSG00000130590.14	ENSG00000149043.17	chr20	chr11
AIG1	IGFBP1	ENSG00000146416.19	ENSG00000146678.10	chr6	chr7
CREBL2	KANSL3	ENSG00000111269.3	ENSG00000114982.19	chr12	chr2
TPCN1	XRRA1	ENSG00000186815.13	ENSG00000166435.17	chr12	chr11
PIGG	FAM83C	ENSG00000174227.16	ENSG00000125998.8	chr4	chr20
ACSS2	KCNJ1	ENSG00000131069.20	ENSG00000151704.16	chr20	chr11
CCDC57	GPX3	ENSG00000176155.21	ENSG00000211445.13	chr17	chr5
CPE	RBM46	ENSG00000109472.14	ENSG00000151962.8	chr4	chr4
TMEM68	SMYD4	ENSG00000167904.16	ENSG00000186532.12	chr8	chr17
HTT	MRI1	ENSG00000197386.14	ENSG00000037757.14	chr4	chr19
ACRV1	FAM90A24P	ENSG00000134940.14	ENSG00000215354.9	chr11	chr8
ALKBH8	PWP2	ENSG00000137760.15	ENSG00000241945.8	chr11	chr21
HELLS	LRRC8A	ENSG00000119969.16	ENSG00000136802.12	chr10	chr9
MTFR1L	SLC39A13	ENSG00000117640.18	ENSG00000165915.14	chr1	chr11
ATP10B	WIZ	ENSG00000118322.14	ENSG00000011451.21	chr5	chr19
HEBP1	SLC19A1	ENSG00000013583.10	ENSG00000173638.19	chr12	chr21
USP44	ZNF746	ENSG00000136014.12	ENSG00000181220.18	chr12	chr7
S100A6	ENSG00000284797	ENSG00000197956.10	ENSG00000284797.2	chr1	chr19
HTR3D	FBXO27	ENSG00000186090.11	ENSG00000161243.10	chr3	chr19
CTNNA1	CEP112	ENSG00000044115.21	ENSG00000154240.18	chr5	chr17
ENSG00000255330	PRMT1	ENSG00000255330.9	ENSG00000126457.22	chr6	chr19
SLC30A8	KCNMB3	ENSG00000164756.13	ENSG00000171121.17	chr8	chr3
EXOC3L1	ZNF474	ENSG00000179044.16	ENSG00000164185.7	chr16	chr5
VPS13D	WDR91	ENSG00000048707.15	ENSG00000105875.15	chr1	chr7
MAP3K11	HNF1A	ENSG00000173327.8	ENSG00000135100.19	chr11	chr12
GZMH	TNC	ENSG00000100450.13	ENSG00000041982.17	chr14	chr9
CLIC4	AQP7B	ENSG00000169504.15	ENSG00000259916.2	chr1	chr2
GFUS	SLC49A3	ENSG00000104522.16	ENSG00000169026.13	chr8	chr4
TXNDC15	ORMDL3	ENSG00000113621.15	ENSG00000172057.10	chr5	chr17
CIC	KANK1	ENSG00000079432.9	ENSG00000107104.21	chr19	chr9
NAGPA	KRBA1	ENSG00000103174.13	ENSG00000133619.18	chr16	chr7
PLSCR3	LARP1B	ENSG00000187838.17	ENSG00000138709.20	chr17	chr4
VAMP1	CTTNBP2	ENSG00000139190.17	ENSG00000077063.11	chr12	chr7
TNMD	CD58	ENSG00000000005.6	ENSG00000116815.16	chrX	chr1
SLFN12	IRAK4	ENSG00000172123.13	ENSG00000198001.16	chr17	chr12
PRSS50	MON1B	ENSG00000283706.2	ENSG00000103111.15	chr3	chr16
C9orf85	LAMP1	ENSG00000155621.15	ENSG00000185896.11	chr9	chr13
ENOPH1	ACVR1	ENSG00000145293.17	ENSG00000115170.16	chr4	chr2
GALM	SP3	ENSG00000143891.17	ENSG00000172845.18	chr2	chr2
AP1S3	PELI2	ENSG00000152056.18	ENSG00000139946.11	chr2	chr14
TEF	FBLN5	ENSG00000167074.15	ENSG00000140092.16	chr22	chr14
TLK1	OPN5	ENSG00000198586.14	ENSG00000124818.16	chr2	chr6
CCNL2	PITRM1	ENSG00000221978.13	ENSG00000107959.17	chr1	chr10
KCNK5	BBC3	ENSG00000164626.9	ENSG00000105327.18	chr6	chr19
NDUFS8	HAPLN1	ENSG00000110717.13	ENSG00000145681.11	chr11	chr5
FAM162A	DHRS9	ENSG00000114023.16	ENSG00000073737.17	chr3	chr2
SORBS3	SDC3	ENSG00000120896.14	ENSG00000162512.16	chr8	chr1
SLC27A1	EMD	ENSG00000130304.17	ENSG00000102119.12	chr19	chrX
PPP1R3E	WNT7B	ENSG00000235194.9	ENSG00000188064.10	chr14	chr22
ZNF417	TRNT1	ENSG00000173480.11	ENSG00000072756.18	chr19	chr3
